True/Predicted,(,),0,1,2,3,4,5,6,7,8,9,=,dot,forward_slash,minus,plus,x
(,85,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
),0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,92,0,0,5,0,0,0,0,1,0,0,1,0,0,0
2,0,0,0,0,93,0,0,0,0,1,0,0,0,0,0,0,0,6
3,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,94,0,0,1,2,0,0,0,0,0,3
6,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,2,0
8,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,0,0,0,99,0,0,0,0,0,0
=,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
dot,0,0,1,0,0,0,0,0,0,0,0,0,0,98,0,1,0,0
forward_slash,0,0,0,12,0,0,0,0,0,0,0,0,0,0,88,0,0,0
minus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
plus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,0
x,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,96
